,0
399,010770.KS
400,058430.KS
401,099350.KS
402,293480.KS
403,006200.KS
404,003350.KS
405,002390.KS
406,014790.KS
407,130660.KS
408,003480.KS
409,088350.KS
410,009830.KS
411,017800.KS
412,298040.KS
413,282330.KS
414,097950.KS
415,016610.KS
416,139130.KS
417,017940.KS
418,078930.KS
419,089470.KS
420,092220.KS
421,001940.KS
422,092230.KS
423,003550.KS
424,100840.KS
425,003570.KS
426,036530.KS
427,018670.KS
428,006120.KS
429,096770.KS
430,002710.KS
431,013580.KS
432,001140.KS
433,074610.KS
434,006280.KS
435,008060.KS
436,128820.KS
437,012510.KS
438,005960.KS
439,049770.KS
440,001530.KS
441,241560.KS
442,001080.KS
443,090370.KS
444,005360.KS
445,008420.KS
446,003650.KS
447,155900.KS
448,001340.KS
449,007210.KS
450,003000.KS
451,001270.KS
452,015350.KS
453,100220.KS
454,006660.KS
455,032830.KS
456,009150.KS
457,000070.KS
458,009470.KS
459,007540.KS
460,008490.KS
461,075580.KS
462,017550.KS
463,035510.KS
464,034300.KS
465,009270.KS
466,005450.KS
467,003620.KS
468,007460.KS
469,004250.KS
470,271560.KS
471,006980.KS
472,010600.KS
473,000220.KS
474,093230.KS
475,034590.KS
476,000230.KS
477,020150.KS
478,103590.KS
479,100250.KS
480,012600.KS
481,035720.KS
482,009070.KS
483,145270.KS
484,053210.KS
485,003690.KS
486,005740.KS
487,001420.KS
488,028670.KS
489,090080.KS
490,010100.KS
491,053690.KS
492,009240.KS
493,069640.KS
494,014680.KS
495,180640.KS
496,004020.KS
497,093240.KS
498,003010.KS
499,010690.KS
500,079980.KS
501,012030.KS
502,005830.KS
503,007700.KS
504,007070.KS
505,234080.KS
506,009440.KS
507,032640.KS
508,066570.KS
509,051910.KS
510,010120.KS
511,002100.KS
512,010130.KS
513,009290.KS
514,030610.KS
515,007690.KS
516,073240.KS
517,000270.KS
518,025860.KS
519,003090.KS
520,000430.KS
521,006340.KS
522,024890.KS
523,003490.KS
524,016380.KS
525,002210.KS
526,084670.KS
527,008970.KS
528,030720.KS
529,163560.KS
530,011160.KS
531,034020.KS
532,286940.KS
533,005300.KS
534,204320.KS
535,000060.KS
536,033920.KS
537,014580.KS
538,026940.KS
539,011390.KS
540,005090.KS
541,028050.KS
542,272550.KS
543,002450.KS
544,004690.KS
545,004410.KS
546,002820.KS
547,000180.KS
548,001430.KS
549,058650.KS
550,027970.KS
551,145210.KS
552,004920.KS
553,033660.KS
554,101140.KS
555,005850.KS
556,900140.KS
557,007310.KS
558,079440.KS
559,025820.KS
560,129260.KS
561,015860.KS
562,033240.KS
563,000950.KS
564,030000.KS
565,004700.KS
566,001630.KS
567,013870.KS
568,010580.KS
569,035000.KS
570,109070.KS
571,120110.KS
572,011280.KS
573,019180.KS
574,036580.KS
575,010820.KS
576,153360.KS
577,152550.KS
578,010040.KS
579,025540.KS
580,002000.KS
581,023350.KS
582,000240.KS
583,123690.KS
584,042700.KS
585,009180.KS
586,213500.KS
587,018880.KS
588,009420.KS
589,195870.KS
590,143210.KS
591,000720.KS
592,079430.KS
593,002460.KS
594,010660.KS
595,032560.KS
596,298050.KS
597,005010.KS
598,069260.KS
599,006840.KS
600,155660.KS
601,039570.KS
602,175330.KS
603,119650.KS
604,030210.KS
605,001120.KS
606,051900.KS
607,229640.KS
608,034310.KS
609,004060.KS
610,009160.KS
611,000660.KS
612,000500.KS
613,012200.KS
614,002140.KS
615,002990.KS
616,011780.KS
617,005720.KS
618,003580.KS
619,004370.KS
620,023590.KS
621,000490.KS
622,042660.KS
623,003830.KS
624,069460.KS
625,145720.KS
626,282690.KS
627,092780.KS
628,014820.KS
629,000020.KS
630,000150.KS
631,013570.KS
632,280360.KS
633,025560.KS
634,003610.KS
635,006110.KS
636,001820.KS
637,075180.KS
638,004360.KS
639,019440.KS
640,033530.KS
641,029530.KS
642,004170.KS
643,031430.KS
644,031440.KS
645,003410.KS
646,008700.KS
647,002250.KS
648,023960.KS
649,140910.KS
650,009810.KS
651,002630.KS
652,001800.KS
653,004720.KS
654,077500.KS
655,000700.KS
656,007660.KS
657,102460.KS
658,007110.KS
659,007570.KS
660,081000.KS
661,004910.KS
662,044380.KS
663,003780.KS
664,281820.KS
665,058860.KS
666,039490.KS
667,015890.KS
668,017810.KS
669,000140.KS
670,002960.KS
671,002300.KS
672,024720.KS
673,161390.KS
674,007280.KS
675,011500.KS
676,008930.KS
677,016450.KS
678,004960.KS
679,001750.KS
680,014130.KS
681,052690.KS
682,000370.KS
683,003530.KS
684,086280.KS
685,069960.KS
686,267260.KS
687,005380.KS
688,001500.KS
689,227840.KS
690,013520.KS
691,133820.KS
692,003280.KS
693,001460.KS
694,004840.KS
695,058850.KS
696,181710.KS
697,077970.KS
698,000860.KS
699,009450.KS
700,017040.KS
701,017900.KS
702,037710.KS
703,083420.KS
704,001210.KS
705,000320.KS
706,001680.KS
707,016710.KS
708,003540.KS
709,009320.KS
710,015230.KS
711,001790.KS
712,002150.KS
713,005190.KS
714,170900.KS
715,030790.KS
716,002900.KS
717,004890.KS
718,115390.KS
719,015540.KS
720,138040.KS
721,008560.KS
722,012690.KS
723,006800.KS
724,002840.KS
725,007160.KS
726,001470.KS
727,041650.KS
728,200880.KS
729,017390.KS
730,004980.KS
731,011300.KS
732,306200.KS
733,016590.KS
734,002700.KS
735,002870.KS
736,004080.KS
737,011090.KS
738,123700.KS
739,025530.KS
740,003060.KS
741,006740.KS
742,012160.KS
743,070960.KS
744,000030.KS
745,010050.KS
746,095720.KS
747,072130.KS
748,008730.KS
749,214320.KS
750,139480.KS
751,000760.KS
752,006490.KS
753,023810.KS
754,013360.KS
755,003120.KS
756,003200.KS
757,226320.KS
758,006220.KS
759,089590.KS
760,000650.KS
761,033250.KS
762,006380.KS
763,033780.KS
764,264900.KS
765,012170.KS
766,055490.KS
767,047050.KS
768,007630.KS
769,103140.KS
770,033180.KS
771,086790.KS
772,172580.KS
773,159650.KS
774,015760.KS
775,003680.KS
776,010420.KS
777,025750.KS
778,005110.KS
779,064350.KS
780,012330.KS
781,010620.KS
782,004310.KS
783,011210.KS
784,011760.KS
785,004800.KS
786,081660.KS
787,000540.KS
